paper_id,title,authors,year,journal,doi,pubmed_url,url,problem,dataset,dataset_source,n_patients,n_events,structured_data,unstructured_data,pathology,labs,medications,treatment,longitudinal_data,target,prediction_horizon,prediction_time,model,baselines,validation,external_validation,metrics,main_result,limitations,leakage_risk,research_gap,relevance_score,novelty_score,data_feasibility,notes
P0011,Automated Identification of Breast Cancer Relapse in Computed Tomography Reports Using Natural Language Processing,"Lee, Zepeda, Arbour, Isaac, Ng, Nichol",2024,JCO Clinical Cancer Informatics,10.1200/CCI.24.00107,https://pubmed.ncbi.nlm.nih.gov/39705642/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11670918/,"Automated relapse identification from CT reports (companion to P0010, same group)","BC Cancer cohort, 2005-2014 diagnoses","BC Cancer, Canada",UNKNOWN,UNKNOWN,UNKNOWN,Yes (CT reports),No (imaging reports),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Breast cancer relapse,N/A,N/A,Transformer/LLM NLP tools,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN details,UNKNOWN,N/A,Confirms recurrence/relapse identification via NLP remains active 2024 research area across multiple document types (pathology + CT + notes),3,2,3,"CLASSIFICATION: DETECTION/INFORMATION EXTRACTION. Companion/extension of P0010, same BC Cancer research group."
P0012,Machine Learning-Based Prediction of Distant Recurrence in Invasive Breast Carcinoma Using Clinicopathological Data: A Cross-Institutional Study,"Sukhadia, Muller, Workman, et al.",2023,Cancers,10.3390/cancers15153960,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10416932/,,Cross-institutional distant recurrence prediction from clinicopathological data,Primary cohort (institution unnamed) + Dartmouth-Hitchcock Medical Center (DHMC) external set,Primary institution UNKNOWN; DHMC for external validation,"161 primary (144 train/17 test); 67 DHMC narrowed to 36 eligible, only 9 used for final external validation","External validation: 2 recurrence-positive, 7 negative (n=9 total)",Yes (clinicopathological only),No,Yes,UNKNOWN,UNKNOWN,Yes (neoadjuvant therapy response),UNKNOWN,Distant recurrence,UNKNOWN,UNKNOWN,"Random Forest (best), SVC, MLP","SVC, MLP vs RF",~90:10 internal split (144/17); external validation n=9,Yes but n=9 only,RF AUC = 1.0 on 17-patient internal test set,RF best internally; external validation far too small to be conclusive,"Very small sample sizes at every stage (161 primary, 9 external)","HIGH METHODOLOGICAL CONCERN: AUC=1.0 on n=17 test set is a strong overfitting/small-sample red flag, not evidence of robustness",Cautionary example: field lacks large cross-institutional cohorts for distant recurrence prediction,2,2,2,"Useful mainly as a cautionary methodological example, not a benchmark to trust. Illustrates the exact gap our program should avoid repeating (tiny external validation sets)."
P0013,Machine learning-based models for the prediction of breast cancer recurrence risk,"Zuo D, Yang L, Jin Y, et al.",2023,BMC Medical Informatics and Decision Making,10.1186/s12911-023-02377-z,https://pubmed.ncbi.nlm.nih.gov/38031071/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10688055/,Broad 11-algorithm benchmarking of recurrence-risk prediction on structured features,"Hospital-based cohort (China, institution not independently confirmed)","UNKNOWN (possibly Tianjin Medical University Cancer Institute, unconfirmed)",UNKNOWN,UNKNOWN,Yes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Recurrence risk,UNKNOWN,UNKNOWN,"11 ML algorithms compared: LR, RF, SVC, XGBoost, GBDT, Decision Tree, MLP, LDA, AdaBoost, GaussianNB, LightGBM",Head-to-head among the 11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN details beyond broad multi-algorithm comparison design,UNKNOWN,UNKNOWN,Evidence that broad multi-algorithm benchmarking on structured features is now common study design,3,2,2,Too many core facts unconfirmed from search snippets to rely on heavily; flagged for full-text follow-up if pursued further.
P0014,Deep Learning Models to Screen Electronic Health Records for Breast and Colorectal Cancer Progression: Performance Evaluation Study,"Lambert, Khan, Pitz, Singh, Chen, Decker",2025,JMIR AI,,https://pubmed.ncbi.nlm.nih.gov/41082723/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12559821/,Chart-review triage: flag EHR notes with evidence of cancer progression (breast + colorectal),"Stage 4 breast and colorectal cancer patients, 2004-2020","CancerCare Manitoba / University of Manitoba, Canada",UNKNOWN,UNKNOWN,UNKNOWN,Yes (EHR notes),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Cancer progression (documented in notes),N/A - screening/detection,N/A,"Bio+ClinicalBERT, Clinical-BigBird, Clinical-Longformer",UNKNOWN,UNKNOWN,No,Removed >84% of charts from manual review while maintaining sensitivity; 'progression' most influential token,Long-document transformers effective for chart-review-reduction screening,Breast+colorectal combined (not breast-only); progression not recurrence specifically,N/A (screening tool),2025 state-of-the-art example of long-document transformer architectures (BigBird/Longformer) for this detection problem class,3,3,3,Adjacent to core recurrence-detection literature; informative for future NLP architecture choices if a detection/extraction component is needed.
P0015,Multi-Modal Machine Learning for Breast Cancer Recurrence Prediction,"Shao, Wang, Khan, Brett, Li, Yao",2026 (preprint),arXiv (UNPUBLISHED PREPRINT - not peer reviewed),,,arXiv:2606.02892,"Multi-modal integration of treatment records, pathology reports, clinician notes for recurrence prediction",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Yes (treatment records),"Yes (pathology reports, clinician notes)",Yes,UNKNOWN,UNKNOWN,Yes,UNKNOWN,Recurrence,UNKNOWN,UNKNOWN,Rule-based regex extraction + precedence-based conflict reconciliation + multi-modal fusion,Single-modality baselines,UNKNOWN,UNKNOWN,UNKNOWN (abstract-level only),Multi-modal integration reportedly outperforms single-modality baselines,"UNPUBLISHED - not peer reviewed, treat as provisional",UNKNOWN,Directly on-topic multimodal fusion approach; worth monitoring for peer-reviewed publication,3,3,2,CAUTION: unreviewed arXiv preprint (2026-06). Should not be cited as validated evidence until peer-reviewed. Include for awareness only.
P0016,Multimodal BEHRT: Transformers for Multimodal Electronic Health Records to predict breast cancer prognosis,(authors not fully confirmed),2024 (medRxiv preprint) / 2025 (published),Frontiers in Oncology,,https://pubmed.ncbi.nlm.nih.gov/41179659/,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2025.1496215/full,Predict 3-year disease-free survival from first-year post-surgery EHR trajectory (landmark design),Large health-system EHR cohort of breast cancer patients on adjuvant chemotherapy,UNKNOWN institution (not specified in snippets),~15000,UNKNOWN,"Yes (labs, procedure/department codes)","Yes (free-text report content, 'Text-BEHRT')",Likely (via free text),Yes,UNKNOWN (likely via procedure codes),Yes (adjuvant chemo cohort),Yes - sequential patient trajectories up to 1 year post-surgery,Disease-free survival status at 3 years post-surgery,3 years,1 year post-surgery (landmark time),"BEHRT-style transformer (masked-trajectory pretraining), Tabular-BEHRT + Text-BEHRT fused into M-BEHRT","Nottingham Prognostic Index (NPI), Random Forest",UNKNOWN (single-cohort; no external site reported in snippets),No (not reported),M-BEHRT AUC-ROC 0.77 [0.70-0.84] vs NPI/RF 0.67 [0.58-0.75] (p<0.05); unimodal Tabular/Text-BEHRT each ~0.75,Multimodal transformer beats validated clinical baseline (NPI) using only first-year post-surgery trajectory,Single AUC point estimate with wide CIs; no external-site validation reported; DFS ground-truth ascertainment method not specified (important given P0005's finding that coded recurrence under-captures true events),"LOW (relatively) - genuine landmark-time design restricts features to pre-3-year-outcome window, a methodological strength rare in this literature",One of the few papers with a genuinely correct landmark/prediction-time design; lacks external validation and clear outcome-label provenance,5,5,4,"STRONGEST EXEMPLAR FOUND for the target research question: real multimodal EHR, correct landmark-time prediction design, beats a validated clinical baseline. Template architecture to study/replicate. Flag: verify DFS label provenance (coded vs NLP vs manual) before treating AUC as trustworthy, given P0005's finding on coded-recurrence under-ascertainment."
P0017,Predicting pathologic complete response to neoadjuvant chemotherapy in breast cancer using a machine learning approach,"Zhao F, Polley E, McClellan J, Howard FM, Olopade OI, et al.",2024,Breast Cancer Research,10.1186/s13058-024-01905-7,https://pubmed.ncbi.nlm.nih.gov/39472970/,,Predict pathologic complete response (pCR) to neoadjuvant chemotherapy from clinicopathologic features,National Cancer Database (NCDB) 2018-2020 (development) + University of Chicago cohort 2010-2020 (external validation),NCDB (ACS/CoC) + University of Chicago (real-world clinical data),UNKNOWN exact N (large national registry + single-institution external set),UNKNOWN,"Yes (clinicopathologic only, no genomics - designed for broad deployability)",No,Yes,UNKNOWN,UNKNOWN,Yes (neoadjuvant chemo),UNKNOWN,Pathologic complete response (binary),Pre-treatment to post-neoadjuvant-chemo surgery outcome,Pre-treatment baseline,ML approach (specific algorithm not confirmed in snippets),UNKNOWN,Genuine external validation: national registry (NCDB) to independent single institution (UChicago),Yes - cross-institutional,UNKNOWN exact AUC/N for external cohort (flagged for direct verification),"Model developed on large national registry, validated at an independent academic center",Exact external-cohort performance not retrieved from search snippets,"Low - pre-treatment features predicting a later, well-defined pCR event is a clean prediction design",Rare genuine external validation (registry -> single-institution) for a true prediction (not detection) task,5,3,4,Real external validation across a national registry and an independent institution - exactly the generalizability test this literature mostly lacks. Needs full-text follow-up for exact metrics.
P0018,Predicting Pathological Complete Response Following Neoadjuvant Therapy in Patients With Breast Cancer: Development of Machine Learning-Based Prediction Models in a Retrospective Study,(authors not fully confirmed),2025,JMIR Cancer,10.2196/64685,,https://cancer.jmir.org/2025/1/e64685,Predict pathologic complete response using genuine real-world structured+unstructured EHR,"Taipei Medical University Clinical Research Database (TMUCRD), 2015-2022","Taipei Medical University, Taiwan",UNKNOWN exact N,UNKNOWN,"Yes (demographics, labs, treatment/med records, cancer registry linkage)","Yes (physician notes, imaging reports, pathology reports)",Yes,Yes,Yes,Yes,"Likely (multi-year EHR, 2015-2022)",Pathologic complete response,Pre-treatment to post-neoadjuvant outcome,Pre-treatment baseline,ML prediction models (specifics not confirmed),UNKNOWN,UNKNOWN (retrospective study),UNKNOWN,UNKNOWN exact N/AUC (flagged for direct verification),UNKNOWN details beyond data-profile description,Retrospective single-institution,UNKNOWN pending full-text verification,Structurally the best match found in either literature search to 'real-world longitudinal EHR with structured+notes' for a genuine prediction task,5,3,4,"Content depth needs full-text confirmation (blocked this session), but data-source profile (structured+notes+registry, multi-year) is exactly the target data shape for this research program."
P0019,Machine Learning to Predict the Individual Risk of Treatment-Relevant Toxicity for Patients With Breast Cancer Undergoing Neoadjuvant Systemic Treatment,(authors not fully confirmed),2024,JCO Clinical Cancer Informatics,10.1200/CCI.24.00010,https://pubmed.ncbi.nlm.nih.gov/39715466/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11670908/,Predict individual risk of grade 3/4 treatment-relevant toxicity during neoadjuvant systemic treatment,Real clinical records cohort,UNKNOWN institution,590 (432 development / 158 validation),329/590 (55.8%) experienced grade 3/4 toxicity,Yes,UNKNOWN,UNKNOWN,"Yes (implied by toxicity grading: anemia, neutropenia, hepatotoxicity, nephrotoxicity, thrombocytopenia, electrolyte disturbance)",Yes (neoadjuvant systemic treatment),Yes,UNKNOWN,"Composite grade 3/4 toxicity (anemia, neutropenia, hepatotoxicity, nephrotoxicity, thrombocytopenia, electrolyte disturbance, neuropathy)",On-treatment toxicity from pre-treatment risk factors,Pre-treatment baseline,"Logistic regression with elastic-net penalty, SVM; 10-fold CV",Comparison between LR-EN and SVM,"10-fold cross-validation, internal 432/158 split",No,UNKNOWN exact AUC (not retrieved from snippets),"Well-defined, real, prospective-style toxicity prediction task",Modest N (590) for composite multi-toxicity endpoint; no external validation; single-institution-like framing,Low - pre-treatment risk factors predicting later on-treatment toxicity is a clean design,Toxicity is comparatively under-studied relative to recurrence/survival in this literature; more objectively ascertainable label (lab-based grading) than recurrence from free text,4,4,3,"Candidate SECONDARY/complementary research target: under-studied problem area, cleaner label ascertainment than recurrence, clear actionable clinical use (pre-treatment risk stratification)."
P0020,Integrating a Shareable Artificial Intelligence Model Into Clinical Research for Cancer Recurrence in Patients With Breast and Colorectal Cancer,(DFCI research group),2025,JCO Clinical Cancer Informatics,10.1200/CCI-25-00143,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12700351/,Cross-institutional external validation of an NLP recurrence-identification model,DFCI-developed model applied externally at Kaiser Permanente Northern California,Dana-Farber Cancer Institute (development) + Kaiser Permanente Northern California (external test),200 breast + 200 colorectal (external test),UNKNOWN,UNKNOWN,"Yes (notes/imaging-adjacent text, 'DFCI-imaging-student' model)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Recurrence identification + time-to-recurrence,N/A - retrospective extraction,N/A,DFCI-imaging-student NLP model (shared/exported for external site use),Manual chart review (gold standard),"External, cross-institution (different EHR/health system entirely)",Yes - genuine cross-institution,90% accuracy for recurrence identification; median time-to-recurrence error <2 weeks vs manual review,NLP recurrence-identification model successfully ported and validated at a genuinely independent health system,Small external test set (200+200); detection task not prediction,N/A (extraction task),Rare genuine example of model portability testing across health systems - directly relevant to the field's dominant weak spot (lack of external validation),5,4,3,"CLASSIFICATION: INFORMATION EXTRACTION, but notable as one of the few true cross-institution external validations of an EHR-NLP recurrence tool found in either literature search."
P0021,Performance of large language models for extracting clinical data from breast cancer pathology reports: a systematic review,(authors not fully confirmed),2026,npj Digital Medicine,10.1038/s41746-026-02789-x,https://pubmed.ncbi.nlm.nih.gov/42174237/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13473680/,Systematic review of LLM performance extracting structured variables from breast pathology reports,"N/A (review of 9 studies, >30 distinct LLM architectures, ~14161 pathology reports total)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A (review),N/A,PROBAST+AI and TRIPOD+AI used for quality/reporting assessment,Varies by included study,Best study-specific accuracy 87.7-97.4% (explicitly flagged as NOT comparable across studies - different tasks/metrics),LLM pathology-report extraction is promising but heterogeneously evaluated; no standardized benchmark yet,Cross-study comparability explicitly limited by heterogeneous tasks/metrics,N/A (review),Field lacks standardized extraction benchmarks; use of TRIPOD+AI/PROBAST+AI signals a methodologically serious very recent (2026) review,5,4,5,"KEY LANDSCAPE PAPER for the LLM-extraction sub-question, breast-cancer-specific and very recent - should be read in full as a primary orientation document if pursuing an NLP/LLM-extraction component."
